Job_Title,Department,Salary
DIR OF INVESTIGATIONS - COPA,COPA,111024
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,79974
LINEMAN - SALARIED,PUBLIC SAFETY ADMINISTRATION,117624
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,68196
SUPERVISING VETERINARY TECHNICIAN,COMM ANIMAL CARE AND CONTROL,81672
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,110178
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,90036
DETENTION AIDE,DEPARTMENT OF POLICE,86016
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
PROCESS SERVER,DEPARTMENT OF LAW,62460
SENIOR HELP DESK TECHNICIAN,DEPARTMENT OF FINANCE,71052
DEPUTY DISTRICT CHIEF,FIRE DEPARTMENT,175464
POLICE OFFICER,DEPARTMENT OF POLICE,97974
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,80616
POLICE OFFICER,DEPARTMENT OF POLICE,97974
INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION,60876
STAFF ASST,PUBLIC SAFETY ADMINISTRATION,82500
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,112848
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,121806
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,53340
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT MANAGER,CHICAGO DEPT OF TRANSPORTATION,92820
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
LIEUTENANT,DEPARTMENT OF POLICE,150318
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
POLICE OFFICER,DEPARTMENT OF POLICE,101412
CAPTAIN-PARAMEDIC,FIRE DEPARTMENT,155358
PROJECT STRATEGY MANAGER - CPD,DEPARTMENT OF POLICE,85248
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
ADMINISTRATIVE ASST III,DEPARTMENT OF AVIATION,61872
SUPERVISING AUDIO-VISION TESTER,FAMILY AND SUPPORT SERVICES,76356
PARAMEDIC,FIRE DEPARTMENT,88770
PARAMEDIC,FIRE DEPARTMENT,84612
PARAMEDIC,FIRE DEPARTMENT,93252
STAFF ASST,FAMILY AND SUPPORT SERVICES,103980
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT,DEPARTMENT OF POLICE,150318
ELEVATOR INSPECTOR,DEPT OF BUILDINGS,141377.64
FILTRATION ENGINEER V,DEPT OF WATER MANAGEMENT,141624
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT,FIRE DEPARTMENT,123420
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
LIBRARY DIVISION CHIEF,CHICAGO PUBLIC LIBRARY,115992
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,85308
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARALEGAL II,DEPARTMENT OF POLICE,64740
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,99480
DIR OF ADMINISTRATION I,DEPT OF ADMINISTRATIVE HEARING,81672
CONTRACTS COORD,PUBLIC SAFETY ADMINISTRATION,119580
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,93264
PROJECT COORD,DEPARTMENT OF PUBLIC HEALTH,63780
DIGITAL ASSET COORDINATOR,DAIS,57240
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DETENTION AIDE,DEPARTMENT OF POLICE,78384
PROGRAM DIR,DEPARTMENT OF PUBLIC HEALTH,131064
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,108756
ACCOUNTANT,DEPARTMENT OF FINANCE,108996
REPROGRAPHICS TECHNICIAN III,DAIS,71784
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
REHABILITATION CONSTRUCTION SPECIALIST,DEPT OF HOUSING,75624
TIMEKEEPER - CPD,PUBLIC SAFETY ADMINISTRATION,61872
SANITATION CLERK,DEPT STREETS AND SANITATION,74220
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,84522
DIVISION MANAGER - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,107772
ASST MANAGER - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,95652
SUPERVISING PLANNER,DEPARTMENT OF PLANNING AND DEVELOPMENT,93000
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
POLICE OFFICER (ASSIGNED AS CANINE HANDLER),DEPARTMENT OF POLICE,110178
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
SENIOR ENVIRONMENTAL INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,77964
PERSONAL ASSISTANT,CHICAGO DEPT OF TRANSPORTATION,85716
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
LIEUTENANT,FIRE DEPARTMENT,123420
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
ADMINISTRATIVE ASST III,CHICAGO PUBLIC LIBRARY,99360
PARAMEDIC,FIRE DEPARTMENT,96528
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT MANAGER - BUILDINGS,DEPT OF BUILDINGS,129540
POLICE OFFICER,DEPARTMENT OF POLICE,79974
PROJECT MANAGER - BUILDINGS,DEPT OF BUILDINGS,107652
SERGEANT,DEPARTMENT OF POLICE,133860
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
LABORATORY TECHNICIAN III,DEPARTMENT OF POLICE,52176
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,53784
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,47532
DEPUTY COMMISSIONER,DEPT OF BUILDINGS,148296
AMBULANCE COMMANDER,FIRE DEPARTMENT,143076
POLICE OFFICER,DEPARTMENT OF POLICE,79974
ADMINISTRATIVE ASST III,FIRE DEPARTMENT,99360
LIEUTENANT,FIRE DEPARTMENT,123420
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH,68940
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
MANAGING ENGINEER - WATER MANAGEMENT,DEPT OF WATER MANAGEMENT,126348
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PUBLIC RELATIONS COORD,DEPARTMENT OF POLICE,115512
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,56868
POLICE OFFICER,DEPARTMENT OF POLICE,101412
CLERK IV,DEPARTMENT OF FINANCE,82500
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,65388
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ASST CHIEF AIRPORT OPERATIONS SUPVSR,DEPARTMENT OF AVIATION,135684
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH,71052
CLERK III,FAMILY AND SUPPORT SERVICES,39492
FIREFIGHTER-EMT,FIRE DEPARTMENT,114570
AUDITOR I,DEPARTMENT OF FINANCE,67860
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ASST PAYROLL ADMINISTRATOR,DEPARTMENT OF FINANCE,99360
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,108822
INFORMATION COORD,DEPARTMENT OF PUBLIC HEALTH,75624
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,73392
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
RECOVERY TEAM PROGRAM DIRECTOR,DEPARTMENT OF PLANNING AND DEVELOPMENT,127608
PARALEGAL II,DEPARTMENT OF LAW,62784
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,129540
CONTRACTS REVIEW SPECIALIST II,CHICAGO DEPT OF TRANSPORTATION,62784
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,84522
PUBLIC HEALTH NURSE III,DEPARTMENT OF PUBLIC HEALTH,113496
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
LIEUTENANT,FIRE DEPARTMENT,127410
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
SENIOR TELECOMMUNICATIONS SPECIALIST,PUBLIC SAFETY ADMINISTRATION,119580
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
ACCOUNTANT,FAMILY AND SUPPORT SERVICES,108996
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
COORD OF STREET PERMITS,CHICAGO DEPT OF TRANSPORTATION,108864
FORESTRY SUPVSR,DEPT STREETS AND SANITATION,112668
POLICE OFFICER,DEPARTMENT OF POLICE,56040
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,119436
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,61308
FIREFIGHTER,FIRE DEPARTMENT,103914
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,96402
POLICE OFFICER,DEPARTMENT OF POLICE,84522
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,101412
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,55932
STAFF ASST,CHICAGO PUBLIC LIBRARY,99360
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,84522
DETENTION AIDE,DEPARTMENT OF POLICE,62136
POLICE OFFICER,DEPARTMENT OF POLICE,88896
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
CIVIL ENGINEER IV,DEPT OF WATER MANAGEMENT,90984
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
GENERAL FOREMAN OF ELECTRICAL MECHANICS,DAIS,118560
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,117900
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
SENIOR EQUITY OFFICER,DEPARTMENT OF PUBLIC HEALTH,106152
COORDINATING PLANNER,CHICAGO DEPT OF TRANSPORTATION,98520
PARAMEDIC,FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
TIMEKEEPER - CPD,PUBLIC SAFETY ADMINISTRATION,56328
BUSINESS COMPLIANCE INVESTIGATOR,BUS AFFAIRS AND CONSUMER PROT,119580
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
LIEUTENANT,DEPARTMENT OF POLICE,150318
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ASSOCIATE GENERAL COUNSEL-CCPSA,CCPSA,104580
ASST TO THE ALDERMAN,CITY COUNCIL,70008
LIEUTENANT,DEPARTMENT OF POLICE,145854
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
MANAGER OF COMPLIANCE ANALYSIS,DEPARTMENT OF FINANCE,118200
STAFF ASST,DEPARTMENT OF FINANCE,94824
CONTRACTS COORD,CHICAGO DEPT OF TRANSPORTATION,89640
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ACCOUNTING TECHNICIAN,FAMILY AND SUPPORT SERVICES,82500
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,99360
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST TO THE EXEC DIR,DEPT STREETS AND SANITATION,103920
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,51888
SR RECOVERY TEAM PROGRAM MGR,DEPARTMENT OF PUBLIC HEALTH,123864
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
SUPVR OF BUSINESS COMPLIANCE INVESTIGATIONS,BUS AFFAIRS AND CONSUMER PROT,108864
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,47532
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
PROJECT COORD,DEPARTMENT OF AVIATION,69984
DETENTION AIDE,DEPARTMENT OF POLICE,86016
SUPVSR OF PAYMENT CENTER,DEPARTMENT OF FINANCE,103920
SERGEANT,DEPARTMENT OF POLICE,133860
BUSINESS COMPLIANCE INVESTIGATOR,BUS AFFAIRS AND CONSUMER PROT,81672
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,67284
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
COORDINATING ARCHITECT,DEPARTMENT OF AVIATION,114384
MICROBIOLOGIST III,DEPT OF WATER MANAGEMENT,108756
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,93264
ADMINISTRATIVE ASST III,DEPARTMENT OF FINANCE,61872
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
PARAMEDIC,FIRE DEPARTMENT,96528
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION,93624
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
ASST TO THE ALDERMAN,CITY COUNCIL,90000
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),DEPARTMENT OF POLICE,114282
DIR OF ADMINISTRATIVE HEARINGS,DEPT OF ADMINISTRATIVE HEARING,174240
SERGEANT,DEPARTMENT OF POLICE,129666
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
STAFF ASST,DEPT OF ADMINISTRATIVE HEARING,108996
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPVSR OF ACCOUNTING,DEPARTMENT OF FINANCE,119400
SUBPOENA OFFICER,DEPARTMENT OF POLICE,119580
CLERK IV,DEPARTMENT OF FINANCE,82500
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
FIRE ENGINEER,FIRE DEPARTMENT,112020
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CULTURAL AFFAIRS COORD II,DEPT OF CULTURAL AFFAIRS,66804
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
ASST TO THE ALDERMAN,CITY COUNCIL,63204
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,102996
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPVSR OF LICENSE ISSUANCE,CITY CLERK,108996
POLICE OFFICER,DEPARTMENT OF POLICE,108822
STAFF ASSISTANT - EXCLUDED,DAIS,86328
SERGEANT,DEPARTMENT OF POLICE,133860
ASST TO THE DIR,BOARD OF ETHICS,90444
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
DIRECTOR OF FINANCE,CHICAGO PUBLIC LIBRARY,129636
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,90036
ARCHITECT IV,DEPT OF BUILDINGS,129540
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR),FIRE DEPARTMENT,119580
DETENTION AIDE,DEPARTMENT OF POLICE,68196
LIEUTENANT,DEPARTMENT OF POLICE,150318
SHIFT SUPVSR OF AVIATION SECURITY,DEPARTMENT OF AVIATION,85452
AIRPORT OPERATIONS CENTER COORD,DEPARTMENT OF AVIATION,58116
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SENIOR DATA ENTRY OPERATOR,CHICAGO PUBLIC LIBRARY,75168
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CLERK IV,DEPARTMENT OF POLICE,71784
SUPVSR OF BOOTING OPERATIONS,DEPARTMENT OF FINANCE,69984
DISPATCH CLERK,DEPARTMENT OF FINANCE,59004
POLICE OFFICER,DEPARTMENT OF POLICE,56040
MGR OF HUMAN RESOURCES-PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,119436
STATION LABORER,DEPT OF WATER MANAGEMENT,49582.32
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,93264
ADMINISTRATIVE ASST II,DEPT OF WATER MANAGEMENT,53784
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,68196
CONTRACTS REVIEW SPECIALIST II,DEPARTMENT OF PUBLIC HEALTH,74424
STAFF ASST,DEPT STREETS AND SANITATION,103980
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,118512
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH,108996
POLICE OFFICER,DEPARTMENT OF POLICE,93264
ADMINISTRATIVE ASST II,DEPARTMENT OF AVIATION,82500
AUDITOR III,FAMILY AND SUPPORT SERVICES,118632
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SUPPORT SERVICES COORD,FAMILY AND SUPPORT SERVICES,62784
SR INFORMATION ANALYST-IGO,IG,81552
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,82500
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,51372
SERGEANT,DEPARTMENT OF POLICE,129666
PARAMEDIC I/C,FIRE DEPARTMENT,101052
SERGEANT,DEPARTMENT OF POLICE,125634
DETENTION AIDE,DEPARTMENT OF POLICE,68196
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,67284
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,82092
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,81816
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DEPUTY CHIEF ADMINISTRATOR,COPA,148296
ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD,DEPT OF WATER MANAGEMENT,94704
FREEDOM OF INFORMATION ACT OFFICER,DEPARTMENT OF POLICE,62784
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,44712
DETENTION AIDE,DEPARTMENT OF POLICE,74844
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,102696
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
ELEVATOR INSPECTOR,DEPT OF BUILDINGS,141377.64
POLICE OFFICER,DEPARTMENT OF POLICE,111966
